userId,movieId,rating,title,genres
1,1,4.0,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy
1,3,4.0,Grumpier Old Men (1995),Comedy|Romance
1,6,4.0,Heat (1995),Action|Crime|Thriller
1,47,5.0,Seven (a.k.a. Se7en) (1995),Mystery|Thriller
1,50,5.0,"Usual Suspects, The (1995)",Crime|Mystery|Thriller
1,70,3.0,From Dusk Till Dawn (1996),Action|Comedy|Horror|Thriller
1,101,5.0,Bottle Rocket (1996),Adventure|Comedy|Crime|Romance
1,110,4.0,Braveheart (1995),Action|Drama|War
1,151,5.0,Rob Roy (1995),Action|Drama|Romance|War
1,157,5.0,Canadian Bacon (1995),Comedy|War
1,163,5.0,Desperado (1995),Action|Romance|Western
1,216,5.0,Billy Madison (1995),Comedy
1,223,3.0,Clerks (1994),Comedy
1,231,5.0,Dumb & Dumber (Dumb and Dumber) (1994),Adventure|Comedy
1,235,4.0,Ed Wood (1994),Comedy|Drama
1,260,5.0,Star Wars: Episode IV - A New Hope (1977),Action|Adventure|Sci-Fi
1,296,3.0,Pulp Fiction (1994),Comedy|Crime|Drama|Thriller
1,316,3.0,Stargate (1994),Action|Adventure|Sci-Fi
1,333,5.0,Tommy Boy (1995),Comedy
1,349,4.0,Clear and Present Danger (1994),Action|Crime|Drama|Thriller
1,356,4.0,Forrest Gump (1994),Comedy|Drama|Romance|War
1,362,5.0,"Jungle Book, The (1994)",Adventure|Children|Romance
1,367,4.0,"Mask, The (1994)",Action|Comedy|Crime|Fantasy
1,423,3.0,Blown Away (1994),Action|Thriller
1,441,4.0,Dazed and Confused (1993),Comedy
1,457,5.0,"Fugitive, The (1993)",Thriller
1,480,4.0,Jurassic Park (1993),Action|Adventure|Sci-Fi|Thriller
1,500,3.0,Mrs. Doubtfire (1993),Comedy|Drama
1,527,5.0,Schindler's List (1993),Drama|War
1,543,4.0,So I Married an Axe Murderer (1993),Comedy|Romance|Thriller
1,552,4.0,"Three Musketeers, The (1993)",Action|Adventure|Comedy|Romance
1,553,5.0,Tombstone (1993),Action|Drama|Western
